# time, data
30.33333,1010.70481
30.50000,1010.65593
30.66667,1011.51377
30.83333,1011.86953
31.00000,1010.87138
31.16667,1007.91879
31.33333,1009.36492
31.50000,1010.19691
31.66667,1011.49991
31.83333,1010.69083
32.00000,1009.72214
32.16667,1010.88479
32.33333,1009.46003
32.50000,1008.42477
32.66667,1010.36653
32.83333,1011.46223
33.00000,1009.24356
33.16667,1008.48795
33.33333,1008.79864
33.50000,1008.56229
33.66667,1009.97574
33.83333,1011.05342
34.00000,1008.36728
34.16667,1008.92651
34.33333,1008.52163
34.50000,1009.09247
34.66667,1010.47844
34.83333,1010.05059
35.00000,1010.75589
35.16667,1010.55334
35.33333,1010.35543
35.50000,1012.01241
35.66667,1011.17316
35.83333,1011.52049
36.00000,1011.44742
36.16667,1012.15761
36.33333,1012.46822
36.50000,1010.56555
36.66667,1010.98754
36.83333,1012.37847
37.00000,1011.89316
37.16667,1011.29414
37.33333,1008.95473
37.50000,1011.69983
37.66667,1013.13639
37.83333,1012.32459
38.00000,1010.24269
38.16667,1009.91802
38.33333,1009.52188
38.50000,1010.68356
38.66667,1011.76816
38.83333,1010.88062
39.00000,1010.62611
39.16667,1010.84768
39.33333,1011.33666
39.50000,1012.06105
39.66667,1011.03716
39.83333,1012.65542
40.00000,1008.03288
40.16667,1007.42646
40.33333,1008.81619
40.50000,1010.01804
40.66667,1011.15625
40.83333,1011.72412
41.00000,1010.98319
41.16667,1010.09980
41.33333,1011.38497
41.50000,1012.91703
41.66667,1012.07421
41.83333,1010.84194
42.00000,1010.51966
42.16667,1011.23945
42.33333,1008.94202
42.50000,1010.53584
42.66667,1011.03345
42.83333,1013.63044
43.00000,1011.16394
43.16667,1010.18032
43.33333,1008.58587
43.50000,1011.01481
43.66667,1011.56051
43.83333,1010.89533
44.00000,1009.63231
44.16667,1009.49997
44.33333,1009.16742
44.50000,1011.09062
44.66667,1011.62590
44.83333,1012.43430
45.00000,1009.25208
45.16667,1010.07056
45.33333,1008.88395
45.50000,1009.58007
45.66667,1010.81439
45.83333,1010.47503
46.00000,1009.22601
46.16667,1007.00587
46.33333,1008.42624
46.50000,1011.26302
46.66667,1011.29910
46.83333,1011.99576
47.00000,1008.89349
47.16667,1009.00006
47.33333,1008.37310
47.50000,1009.59103
47.66667,1011.87607
47.83333,1012.09629
48.00000,1012.61930
48.16667,1011.09176
48.33333,1011.73075
48.50000,1010.58445
48.66667,1008.43416
48.83333,1009.74117
49.00000,1011.00470
49.16667,1009.18537
49.33333,1007.93190
49.50000,1009.51985
49.66667,1011.97664
49.83333,1012.92201
50.00000,1011.50930
50.16667,1010.24004
50.33333,1010.46266
50.50000,1011.30806
50.66667,1011.84821
50.83333,1012.70897
51.00000,1011.03394
51.16667,1010.95247
51.33333,1013.23331
51.50000,1014.16451
51.66667,1012.89060
51.83333,1011.93153
52.00000,1011.58879
52.16667,1010.21623
52.33333,1012.15501
52.50000,1012.24194
52.66667,1012.79542
52.83333,1011.43641
53.00000,1009.13838
53.16667,1008.98410
53.33333,1008.65431
53.50000,1010.79267
53.66667,1012.39433
53.83333,1012.25565
54.00000,1011.02313
54.16667,1010.64467
54.33333,1010.75708
54.50000,1013.23532
54.66667,1012.63312
54.83333,1011.50208
55.00000,1011.77495
55.16667,1011.01315
55.33333,1010.09745
55.50000,1010.51995
55.66667,1011.03464
55.83333,1010.83445
56.00000,1009.23400
56.16667,1010.46682
56.33333,1010.89519
56.50000,1010.51773
56.66667,1011.62276
56.83333,1011.23619
57.00000,1011.69242
57.16667,1011.52843
57.33333,1010.64867
57.50000,1012.45246
57.66667,1012.55248
57.83333,1013.08612
58.00000,1011.98928
58.16667,1010.53238
58.33333,1010.63342
58.50000,1011.72897
58.66667,1012.01110
58.83333,1012.03621
59.00000,1010.63162
59.16667,1009.35746
59.33333,1009.12984
59.50000,1010.65759
59.66667,1012.75381
59.83333,1013.50286
60.00000,1011.01723
60.16667,1010.47590
60.33333,1009.24445
60.50000,1010.68203
60.66667,1011.05694
60.83333,1011.61223
61.00000,1010.48911
61.16667,1009.87534
61.33333,1010.72793
61.50000,1011.90261
61.66667,1012.97683
61.83333,1014.71077
62.00000,1013.88693
62.16667,1011.60109
62.33333,1011.23612
62.50000,1011.43090
62.66667,1012.48006
62.83333,1011.61985
63.00000,1011.87021
63.16667,1011.82812
63.33333,1012.81017
63.50000,1012.47933
63.66667,1012.13657
63.83333,1012.49176
64.00000,1013.08558
64.16667,1011.09961
64.33333,1011.29766
64.50000,1011.95456
64.66667,1012.17740
64.83333,1011.79726
65.00000,1010.04381
65.16667,1009.59634
65.33333,1011.06051
65.50000,1013.57070
65.66667,1014.51306
65.83333,1011.20407
66.00000,1011.69633
66.16667,1009.64753
66.33333,1011.63329
66.50000,1009.56904
66.66667,1010.14395
66.83333,1010.33961
67.00000,1009.69017
67.16667,1009.07020
67.33333,1011.08473
67.50000,1012.20233
67.66667,1010.69019
67.83333,1010.91011
68.00000,1010.53558
68.16667,1011.04244
68.33333,1011.91972
68.50000,1013.20935
68.66667,1014.74425
68.83333,1012.61733
69.00000,1011.34572
69.16667,1009.85880
69.33333,1010.89296
69.50000,1013.31409
69.66667,1013.45640
69.83333,1014.56311
70.00000,1012.59323
70.16667,1011.59715
70.33333,1010.87089
70.50000,1012.39926
70.66667,1011.44055
70.83333,1012.47926
71.00000,1010.95868
71.16667,1011.93726
71.33333,1009.98589
71.50000,1010.61867
71.66667,1012.79134
71.83333,1014.30622
72.00000,1013.39565
72.16667,1010.60909
72.33333,1010.27820
72.50000,1011.11867
72.66667,1012.55586
72.83333,1011.44014
73.00000,1011.13213
73.16667,1010.41620
73.33333,1011.40588
73.50000,1012.69238
73.66667,1013.29150
73.83333,1012.26220
74.00000,1010.16569
74.16667,1009.72095
74.33333,1011.65571
74.50000,1012.04709
74.66667,1013.37294
74.83333,1011.07708
75.00000,1012.16463
75.16667,1010.74363
75.33333,1012.62945
75.50000,1014.23534
75.66667,1011.57098
75.83333,1010.20642
76.00000,1010.30143
76.16667,1009.27367
76.33333,1011.69668
76.50000,1013.08762
76.66667,1013.53999
76.83333,1012.47715
77.00000,1012.66970
77.16667,1011.72933
77.33333,1011.92801
77.50000,1011.63840
77.66667,1015.50481
77.83333,1015.28032
78.00000,1013.39617
78.16667,1011.58443
78.33333,1012.10097
78.50000,1012.18936
78.66667,1013.44132
78.83333,1014.07916
79.00000,1012.20404
79.16667,1011.46271
79.33333,1012.45799
79.50000,1011.68163
79.66667,1011.90338
79.83333,1011.63057
80.00000,1012.36331
80.16667,1012.72250
80.33333,1012.39170
80.50000,1015.47205
80.66667,1016.27077
80.83333,1013.20097
81.00000,1012.26724
81.16667,1012.06394
81.33333,1012.94751
81.50000,1014.76433
81.66667,1012.22324
81.83333,1011.71981
82.00000,1011.79112
82.16667,1010.67712
82.33333,1010.56088
82.50000,1012.41116
82.66667,1011.68698
82.83333,1012.23032
83.00000,1012.67173
83.16667,1010.81825
83.33333,1012.93769
83.50000,1013.22140
83.66667,1012.80649
83.83333,1013.00900
84.00000,1012.54875
84.16667,1011.61974
84.33333,1011.67925
84.50000,1012.70753
84.66667,1013.07040
84.83333,1013.87746
85.00000,1012.38608
85.16667,1012.85501
85.33333,1013.87712
85.50000,1013.37193
85.66667,1013.85094
85.83333,1014.06078
86.00000,1013.54226
86.16667,1013.87590
86.33333,1014.38043
86.50000,1014.59979
86.66667,1014.97978
86.83333,1013.59430
87.00000,1012.53395
87.16667,1010.73493
87.33333,1010.72749
87.50000,1010.95817
87.66667,1012.94560
87.83333,1013.28350
88.00000,1013.33000
88.16667,1010.30985
88.33333,1010.09654
88.50000,1011.92488
88.66667,1013.72481
88.83333,1012.63852
89.00000,1009.55885
89.16667,1009.99645
89.33333,1010.84319
89.50000,1011.46337
89.66667,1011.07550
89.83333,1012.82321
90.00000,1011.78795
90.16667,1012.56971
90.33333,1011.98269
90.50000,1014.71819
90.66667,1016.66432
90.83333,1014.13598
91.00000,1012.82045
91.16667,1010.64103
91.33333,1011.93160
91.50000,1011.37558
91.66667,1014.09753
91.83333,1012.62757
92.00000,1010.56088
92.16667,1011.19451
92.33333,1012.60606
92.50000,1013.33887
92.66667,1014.68625
92.83333,1013.41688
93.00000,1013.67107
93.16667,1012.81668
93.33333,1012.39094
93.50000,1013.50909
93.66667,1013.16871
93.83333,1012.07295
94.00000,1011.71368
94.16667,1011.94126
94.33333,1012.88054
94.50000,1014.37823
94.66667,1014.42037
94.83333,1015.09226
95.00000,1014.33982
95.16667,1010.31362
95.33333,1012.93026
95.50000,1013.58660
95.66667,1013.52760
95.83333,1013.86386
96.00000,1013.20349
96.16667,1010.13950
96.33333,1012.78871
96.50000,1013.91859
96.66667,1014.83638
96.83333,1014.10981
97.00000,1013.40569
97.16667,1012.84402
97.33333,1013.36872
97.50000,1014.88813
97.66667,1016.56786
97.83333,1013.82661
98.00000,1014.82295
98.16667,1013.41003
98.33333,1010.67324
98.50000,1012.18195
98.66667,1012.43979
98.83333,1013.36486
99.00000,1012.65131
99.16667,1011.07487
99.33333,1012.15633
99.50000,1015.04695
99.66667,1013.16118
99.83333,1013.39787
100.00000,1014.22994
100.16667,1013.67071
100.33333,1013.39680
100.50000,1011.62122
100.66667,1014.88934
100.83333,1015.16978
101.00000,1014.29198
101.16667,1011.47091
101.33333,1010.97516
101.50000,1012.40609
101.66667,1012.12614
101.83333,1013.88249
102.00000,1012.79665
102.16667,1012.61145
102.33333,1011.29567
102.50000,1013.28108
102.66667,1013.70310
102.83333,1013.82796
103.00000,1013.79607
103.16667,1015.48209
103.33333,1012.87542
103.50000,1014.47321
103.66667,1015.42863
103.83333,1015.80298
104.00000,1012.71930
104.16667,1011.26904
104.33333,1013.14735
104.50000,1015.32637
104.66667,1015.74501
104.83333,1014.40643
105.00000,1014.97510
105.16667,1011.85888
105.33333,1011.60777
105.50000,1014.07202
105.66667,1015.68722
105.83333,1015.96996
106.00000,1015.41193
106.16667,1012.58254
106.33333,1012.20968
106.50000,1014.45705
106.66667,1015.92277
106.83333,1015.16817
107.00000,1014.29410
107.16667,1012.64011
107.33333,1013.23712
107.50000,1013.60713
107.66667,1013.76990
107.83333,1013.90625
108.00000,1013.66159
108.16667,1012.98846
108.33333,1012.93265
108.50000,1014.80312
108.66667,1013.46751
108.83333,1015.21311
109.00000,1015.31922
109.16667,1014.89702
109.33333,1014.79294
109.50000,1014.34470
109.66667,1013.79095
109.83333,1014.50560
110.00000,1015.13806
110.16667,1012.83871
110.33333,1012.70261
110.50000,1014.01166
110.66667,1014.31474
110.83333,1015.26442
111.00000,1015.38543
111.16667,1014.79570
111.33333,1013.43829
111.50000,1013.55954
111.66667,1014.48155
111.83333,1015.50970
112.00000,1014.42333
112.16667,1015.93674
112.33333,1014.60707
112.50000,1014.41794
112.66667,1015.33170
112.83333,1015.16757
113.00000,1013.57040
113.16667,1011.22239
113.33333,1012.19403
113.50000,1013.24286
113.66667,1013.67751
113.83333,1014.70562
114.00000,1015.11146
114.16667,1014.34508
114.33333,1014.50827
114.50000,1014.34065
114.66667,1016.57974
114.83333,1016.56711
115.00000,1015.53314
115.16667,1012.99007
115.33333,1015.00572
115.50000,1016.73173
115.66667,1015.77756
115.83333,1017.10371
116.00000,1015.13811
116.16667,1013.79192
116.33333,1013.34990
116.50000,1013.73726
116.66667,1016.82941
116.83333,1017.09603
117.00000,1015.95805
117.16667,1016.34510
117.33333,1014.93290
117.50000,1015.18780
117.66667,1015.88496
117.83333,1016.56383
118.00000,1014.55146
118.16667,1014.57781
118.33333,1013.92771
118.50000,1014.80466
118.66667,1016.71639
118.83333,1013.62882
119.00000,1014.01742
119.16667,1012.28793
119.33333,1011.20699
119.50000,1013.03142
119.66667,1014.90618
119.83333,1014.45355
120.00000,1012.95101
120.16667,1012.74320
120.33333,1012.93599
120.50000,1014.20918
120.66667,1014.50210
120.83333,1016.48214
121.00000,1014.32952
121.16667,1012.50646
121.33333,1013.33026
121.50000,1012.28972
121.66667,1012.31089
121.83333,1015.28700
122.00000,1015.34830
122.16667,1015.48810
122.33333,1014.50052
122.50000,1014.37545
122.66667,1013.56753
122.83333,1014.96598
123.00000,1014.05269
123.16667,1013.71811
123.33333,1013.26198
123.50000,1016.18707
123.66667,1014.69099
123.83333,1016.44091
124.00000,1014.82471
124.16667,1013.89187
124.33333,1013.40569
124.50000,1015.14126
124.66667,1014.69849
124.83333,1014.21854
125.00000,1015.57739
125.16667,1014.68014
125.33333,1013.58573
125.50000,1012.94143
125.66667,1015.12195
125.83333,1013.30650
126.00000,1012.18335
126.16667,1013.99021
126.33333,1013.26768
126.50000,1013.63098
126.66667,1015.25749
126.83333,1015.79153
127.00000,1014.88725
127.16667,1014.61658
127.33333,1014.33703
127.50000,1015.19022
127.66667,1013.77249
127.83333,1014.65313
128.00000,1014.33835
128.16667,1013.89796
128.33333,1013.34960
128.50000,1015.09374
128.66667,1015.14408
128.83333,1014.85616
129.00000,1014.40098
129.16667,1016.28251
129.33333,1014.80676
129.50000,1014.46027
129.66667,1015.53808
129.83333,1015.43142
130.00000,1014.30415
130.16667,1012.88405
130.33333,1013.65417
130.50000,1015.92388
130.66667,1015.36056
130.83333,1016.07400
131.00000,1013.95024
131.16667,1015.47001
131.33333,1014.65165
131.50000,1014.60556
131.66667,1015.18893
131.83333,1014.70229
132.00000,1014.92649
132.16667,1012.20263
132.33333,1013.07752
132.50000,1014.43992
132.66667,1015.80748
132.83333,1016.39472
133.00000,1015.33076
133.16667,1013.77058
133.33333,1013.35716
133.50000,1015.73062
133.66667,1017.19608
133.83333,1017.51384
134.00000,1014.96908
134.16667,1013.07971
134.33333,1013.79067
134.50000,1015.47890
134.66667,1015.47614
134.83333,1015.24478
135.00000,1014.21467
135.16667,1013.19889
135.33333,1013.07225
135.50000,1014.29514
135.66667,1014.77802
135.83333,1015.86062
136.00000,1015.43369
136.16667,1012.82069
136.33333,1013.97379
136.50000,1014.99040
136.66667,1015.52527
136.83333,1016.06359
137.00000,1015.39762
137.16667,1015.79670
137.33333,1015.37886
137.50000,1015.92467
137.66667,1018.43687
137.83333,1018.28521
138.00000,1015.48962
138.16667,1015.32564
138.33333,1016.79293
138.50000,1015.00104
138.66667,1016.86330
138.83333,1016.75021
139.00000,1015.18010
139.16667,1012.91787
139.33333,1014.24009
139.50000,1014.60042
139.66667,1017.06542
139.83333,1017.01313
140.00000,1016.16614
140.16667,1013.11049
140.33333,1013.03911
140.50000,1014.12808
140.66667,1016.69234
140.83333,1016.67051
141.00000,1015.36959
141.16667,1014.93251
141.33333,1014.91210
141.50000,1013.92935
141.66667,1017.19840
141.83333,1015.92388
142.00000,1015.96768
142.16667,1016.04210
142.33333,1015.04649
142.50000,1015.62749
142.66667,1016.14697
142.83333,1017.29851
143.00000,1015.95241
143.16667,1015.23564
143.33333,1014.32781
143.50000,1014.99388
143.66667,1015.58352
143.83333,1015.11624
144.00000,1014.48433
144.16667,1015.10303
144.33333,1015.02908
144.50000,1017.44255
144.66667,1017.03555
144.83333,1016.83533
145.00000,1016.43500
145.16667,1015.82824
145.33333,1014.56803
145.50000,1015.32652
145.66667,1016.37548
145.83333,1015.88972
146.00000,1016.33161
146.16667,1014.47191
146.33333,1014.33179
146.50000,1014.83394
146.66667,1015.04404
146.83333,1015.82843
147.00000,1013.92953
147.16667,1013.67913
147.33333,1014.58494
147.50000,1015.64522
147.66667,1017.55626
147.83333,1017.57621
148.00000,1017.34877
148.16667,1013.99836
148.33333,1012.80094
148.50000,1013.15336
148.66667,1015.19513
148.83333,1015.37452
149.00000,1015.14907
149.16667,1013.06860
149.33333,1014.60420
149.50000,1016.57177
149.66667,1017.83301
149.83333,1016.91481
150.00000,1015.20621
150.16667,1013.69879
150.33333,1014.74275
150.50000,1016.09539
150.66667,1016.56615
150.83333,1014.65273
151.00000,1016.00644
151.16667,1016.54628
151.33333,1014.72910
151.50000,1015.25300
151.66667,1016.32479
151.83333,1017.42095
152.00000,1015.74562
152.16667,1014.43390
152.33333,1014.90203
152.50000,1016.42803
152.66667,1017.49436
152.83333,1018.20040
153.00000,1017.90916
153.16667,1016.29217
153.33333,1016.17075
153.50000,1015.15400
153.66667,1015.50675
153.83333,1013.69990
154.00000,1015.27478
154.16667,1012.70083
154.33333,1012.23444
154.50000,1015.06194
154.66667,1015.76097
154.83333,1016.49059
155.00000,1015.28980
155.16667,1014.13283
155.33333,1014.76544
155.50000,1016.74990
155.66667,1015.55470
155.83333,1015.40352
156.00000,1014.11638
156.16667,1012.51640
156.33333,1012.52255
156.50000,1014.66197
156.66667,1016.90225
156.83333,1017.73880
157.00000,1016.30943
157.16667,1016.65079
157.33333,1014.78944
157.50000,1015.82930
157.66667,1015.99723
157.83333,1015.17251
158.00000,1014.05393
158.16667,1014.85758
158.33333,1016.04803
158.50000,1016.24360
158.66667,1016.16268
158.83333,1017.05674
159.00000,1017.02439
159.16667,1013.45409
159.33333,1015.47019
159.50000,1015.50032
159.66667,1016.30544
159.83333,1015.38655
160.00000,1015.64965
160.16667,1016.55959
160.33333,1014.56540
160.50000,1015.02022
160.66667,1018.80716
160.83333,1018.21835
161.00000,1014.47851
161.16667,1012.53258
161.33333,1012.74263
161.50000,1014.26375
161.66667,1015.14414
161.83333,1015.01241
162.00000,1015.79990
162.16667,1014.69739
162.33333,1013.67039
162.50000,1015.61537
162.66667,1017.02149
162.83333,1016.66906
163.00000,1016.98345
163.16667,1015.18815
163.33333,1015.00624
163.50000,1014.81683
163.66667,1016.19145
163.83333,1016.31320
164.00000,1014.33937
164.16667,1014.11949
164.33333,1015.35684
164.50000,1016.82779
164.66667,1016.38850
164.83333,1014.85556
165.00000,1014.57559
165.16667,1015.86759
165.33333,1013.97135
165.50000,1014.09363
165.66667,1016.03455
165.83333,1016.75399
166.00000,1017.09922
166.16667,1014.12422
166.33333,1013.49903
166.50000,1014.82623
166.66667,1015.35555
166.83333,1018.16856
167.00000,1018.28489
167.16667,1014.52251
167.33333,1014.22526
167.50000,1016.15644
167.66667,1016.79266
167.83333,1018.60127
168.00000,1016.61009
168.16667,1015.53408
168.33333,1014.70171
168.50000,1015.79985
168.66667,1015.79418
168.83333,1014.36915
169.00000,1015.31275
169.16667,1012.56297
169.33333,1011.95207
169.50000,1013.87912
169.66667,1014.70067
169.83333,1016.07608
170.00000,1016.80059
170.16667,1014.78002
170.33333,1015.14047
170.50000,1015.22425
170.66667,1016.28418
170.83333,1015.81616
171.00000,1015.82344
171.16667,1014.12446
171.33333,1015.44060
171.50000,1017.35036
171.66667,1018.48996
171.83333,1016.24329
172.00000,1015.57511
172.16667,1016.72650
172.33333,1016.57038
172.50000,1015.54644
172.66667,1016.81036
172.83333,1016.77877
173.00000,1016.21363
173.16667,1015.11315
173.33333,1013.44168
173.50000,1015.21305
173.66667,1015.80354
173.83333,1015.84279
174.00000,1016.45343
174.16667,1015.17853
174.33333,1015.01687
174.50000,1017.13213
174.66667,1018.36207
174.83333,1017.92410
175.00000,1015.33654
175.16667,1013.51065
175.33333,1015.53362
175.50000,1016.23978
175.66667,1018.28041
175.83333,1018.48828
176.00000,1016.70374
176.16667,1015.39125
176.33333,1015.15723
176.50000,1014.75466
176.66667,1016.96847
176.83333,1017.92834
177.00000,1017.39068
177.16667,1014.76014
177.33333,1016.20190
177.50000,1017.50678
177.66667,1016.56961
177.83333,1016.33936
178.00000,1015.88975
178.16667,1012.46280
178.33333,1014.16501
178.50000,1014.74152
178.66667,1017.03930
178.83333,1015.93524
179.00000,1016.25166
179.16667,1016.33519
179.33333,1015.18731
179.50000,1017.63957
179.66667,1017.69352
179.83333,1016.97415
180.00000,1016.47975
180.16667,1015.35012
180.33333,1016.08095
180.50000,1015.44424
180.66667,1016.77570
180.83333,1016.64714
181.00000,1014.81134
181.16667,1015.33861
181.33333,1014.39003
181.50000,1015.14655
181.66667,1014.75229
181.83333,1015.22614
182.00000,1014.66519
182.16667,1013.49650
182.33333,1015.33991
182.50000,1015.20254
182.66667,1017.46352
182.83333,1020.16812
183.00000,1016.63039
183.16667,1014.60860
183.33333,1015.64374
183.50000,1015.49813
183.66667,1015.43576
183.83333,1016.57180
184.00000,1016.53482
184.16667,1016.94261
184.33333,1014.41518
184.50000,1015.46777
184.66667,1015.14678
184.83333,1015.40531
185.00000,1017.49064
185.16667,1016.17920
185.33333,1014.79962
185.50000,1016.66897
185.66667,1017.97542
185.83333,1017.20905
186.00000,1016.11703
186.16667,1016.20502
186.33333,1017.34562
186.50000,1017.72498
186.66667,1017.23420
186.83333,1017.08348
187.00000,1015.53078
187.16667,1014.32052
187.33333,1014.03031
187.50000,1016.22242
187.66667,1017.57285
187.83333,1015.93635
188.00000,1015.01182
188.16667,1015.79042
188.33333,1015.60049
188.50000,1016.02889
188.66667,1018.05810
188.83333,1014.98431
189.00000,1014.23453
189.16667,1012.84393
189.33333,1013.94921
189.50000,1016.64179
189.66667,1016.57526
189.83333,1015.65687
190.00000,1016.30585
190.16667,1015.83814
190.33333,1014.81014
190.50000,1017.01545
190.66667,1017.16741
190.83333,1019.51900
191.00000,1017.93862
191.16667,1015.20663
191.33333,1016.36124
191.50000,1017.29900
191.66667,1017.56797
191.83333,1016.47979
192.00000,1014.74315
192.16667,1015.05427
192.33333,1014.90832
192.50000,1017.46355
192.66667,1017.80068
192.83333,1016.54276
193.00000,1014.45611
193.16667,1013.91419
193.33333,1015.26870
193.50000,1017.35662
193.66667,1017.59080
193.83333,1018.77919
194.00000,1017.49898
194.16667,1014.90597
194.33333,1014.84868
194.50000,1016.07783
194.66667,1016.85266
194.83333,1016.88892
195.00000,1016.58755
195.16667,1016.67938
195.33333,1015.83316
195.50000,1017.42816
195.66667,1015.89076
195.83333,1017.99682
196.00000,1014.92814
196.16667,1014.57435
196.33333,1014.69515
196.50000,1017.30870
196.66667,1018.70819
196.83333,1016.96049
197.00000,1015.06885
197.16667,1014.77608
197.33333,1015.66001
197.50000,1016.44625
197.66667,1015.93255
197.83333,1016.26762
198.00000,1015.00221
198.16667,1015.93833
198.33333,1015.56139
198.50000,1018.57873
198.66667,1017.59828
198.83333,1016.15415
199.00000,1016.36559
199.16667,1015.16807
199.33333,1015.64091
199.50000,1016.47758
199.66667,1016.69481
199.83333,1015.88764
200.00000,1016.50756
200.16667,1016.80407
200.33333,1016.50051
200.50000,1016.07000
200.66667,1017.24177
200.83333,1017.47652
201.00000,1014.81780
201.16667,1015.74300
201.33333,1014.38573
201.50000,1017.49622
201.66667,1017.31285
201.83333,1016.94027
202.00000,1015.11927
202.16667,1013.81919
202.33333,1014.33110
202.50000,1015.56857
202.66667,1016.16440
202.83333,1016.27201
203.00000,1015.29883
203.16667,1015.27015
203.33333,1015.55080
203.50000,1017.29534
203.66667,1015.62419
203.83333,1013.17426
204.00000,1014.24185
204.16667,1014.61210
204.33333,1012.94345
204.50000,1013.78202
204.66667,1016.37090
204.83333,1016.21431
205.00000,1016.53005
205.16667,1014.06925
205.33333,1014.18669
205.50000,1014.59500
205.66667,1015.29896
205.83333,1016.19617
206.00000,1014.29152
206.16667,1015.87092
206.33333,1014.83074
206.50000,1015.84486
206.66667,1016.36298
206.83333,1016.66248
207.00000,1015.49747
207.16667,1014.76495
207.33333,1017.39158
207.50000,1017.35087
207.66667,1017.65049
207.83333,1017.75021
208.00000,1017.51953
208.16667,1018.47375
208.33333,1019.79095
208.50000,1017.57742
208.66667,1017.22326
208.83333,1015.62048
209.00000,1015.83214
209.16667,1014.97421
209.33333,1015.27708
209.50000,1014.14796
209.66667,1015.80511
209.83333,1015.84479
210.00000,1014.96826
210.16667,1014.02426
210.33333,1013.25578
210.50000,1015.44226
210.66667,1016.89390
210.83333,1016.63114
211.00000,1014.16864
211.16667,1014.77415
211.33333,1014.56601
211.50000,1017.04159
211.66667,1016.32001
